A,B,C,D,E,F
A4,B3,C5,D10,E9,F9
A6,B3,C8,D10,E7,F5
A6,B5,C8,D0,E9,F10
A9,B2,C7,D0,E6,F8
A7,B7,C6,D0,E6,F8
A7,B7,C6,D8,E10,F7
A2,B5,C9,D9,E2,F4
A9,B7,C6,D9,E9,F1
A8,B2,C4,D9,E4,F7
A10,B6,C8,D9,E7,F0
A3,B4,C5,D0,E2,F9
A2,B10,C9,D9,E1,F3
A8,B2,C6,D2,E7,F0
A0,B2,C2,D7,E7,F2
A1,B3,C8,D10,E2,F3
A1,B8,C5,D4,E0,F2
A4,B7,C1,D7,E0,F9
A5,B9,C5,D5,E6,F7
A5,B2,C4,D8,E5,F2
A4,B7,C6,D3,E5,F2
A4,B9,C1,D7,E6,F6
A5,B3,C5,D8,E4,F0
A0,B8,C1,D8,E6,F0
A10,B0,C2,D5,E3,F10
A4,B0,C5,D2,E0,F10
A2,B0,C6,D0,E7,F3
A2,B4,C1,D2,E9,F5
A2,B10,C0,D8,E0,F6
A10,B7,C9,D7,E0,F8
A3,B0,C6,D0,E6,F7
A7,B0,C0,D4,E6,F0
A0,B0,C8,D1,E1,F7
A0,B4,C7,D4,E5,F9
A7,B2,C9,D9,E8,F10
A1,B1,C5,D3,E2,F9
A10,B1,C6,D0,E8,F8
A0,B8,C1,D3,E7,F0
A4,B10,C5,D0,E9,F1
A4,B2,C0,D6,E1,F1
A4,B7,C4,D10,E5,F0
A10,B4,C7,D1,E10,F5
A7,B1,C8,D4,E4,F7
A7,B9,C3,D9,E7,F1
A9,B0,C3,D8,E0,F4
A10,B2,C3,D8,E4,F1
A8,B0,C9,D7,E10,F1
A8,B6,C10,D1,E1,F6
A3,B10,C0,D0,E5,F4
A10,B3,C1,D1,E1,F10
A9,B2,C2,D7,E9,F8
A2,B2,C1,D7,E3,F10
A10,B1,C1,D6,E4,F9
A5,B5,C2,D7,E7,F7
A3,B7,C0,D7,E3,F3
A1,B7,C3,D1,E4,F3
A9,B8,C3,D9,E8,F1
A9,B7,C0,D10,E3,F6
A0,B8,C3,D4,E6,F1
A3,B1,C8,D9,E7,F6
A7,B7,C5,D10,E8,F7
A8,B4,C6,D9,E4,F7
A1,B0,C0,D10,E2,F1
A1,B6,C6,D4,E2,F10
A1,B4,C6,D1,E9,F9
A6,B6,C2,D3,E8,F5
A9,B1,C0,D0,E4,F9
A2,B5,C6,D9,E7,F9
A10,B10,C6,D0,E3,F0
A5,B6,C8,D0,E10,F4
A2,B6,C6,D1,E10,F5
A0,B6,C8,D5,E1,F7
A4,B8,C10,D2,E6,F1
A4,B5,C4,D1,E3,F8
A6,B6,C1,D4,E5,F5
A3,B1,C5,D2,E9,F5
A4,B0,C9,D7,E0,F6
A1,B8,C4,D4,E6,F2
A5,B9,C6,D0,E9,F1
A1,B3,C7,D4,E3,F2
A1,B6,C5,D5,E1,F10
A1,B4,C3,D4,E1,F4
A8,B8,C2,D2,E10,F6
A3,B3,C2,D6,E1,F0
A4,B0,C1,D5,E3,F7
A5,B1,C8,D4,E3,F0
A2,B9,C9,D4,E2,F8
A7,B8,C4,D9,E5,F1
A6,B9,C5,D6,E9,F10
A2,B1,C7,D1,E5,F0
A8,B8,C2,D10,E10,F1
A8,B0,C0,D9,E1,F5
A5,B10,C0,D3,E10,F10
A1,B0,C5,D9,E1,F10
A1,B6,C6,D7,E3,F1
A2,B3,C6,D1,E0,F10
A4,B0,C9,D7,E4,F9
A2,B10,C5,D2,E2,F10
A8,B10,C5,D8,E0,F10
A10,B0,C1,D4,E6,F9
A6,B9,C8,D2,E5,F1
A2,B2,C5,D6,E2,F1
A5,B2,C6,D6,E2,F5
A6,B1,C5,D1,E3,F5
A10,B2,C5,D7,E4,F1
A1,B7,C5,D0,E3,F10
A10,B7,C4,D2,E8,F10
A8,B2,C2,D2,E2,F0
A0,B6,C2,D7,E3,F7
A2,B10,C4,D5,E9,F6
A4,B3,C7,D7,E3,F10
A8,B2,C0,D6,E0,F2
A7,B7,C7,D5,E2,F9
A8,B4,C2,D10,E1,F5
A6,B4,C4,D3,E4,F10
A6,B2,C9,D3,E4,F7
A2,B3,C3,D7,E4,F7
A9,B0,C3,D1,E3,F6
A5,B5,C7,D9,E1,F7
A1,B7,C4,D9,E2,F1
A8,B6,C10,D10,E4,F0
A0,B0,C6,D6,E5,F8
A7,B9,C8,D9,E6,F6
A10,B3,C7,D6,E2,F9
A7,B4,C0,D5,E3,F4
A1,B8,C9,D7,E3,F2
A4,B7,C5,D6,E1,F7
A7,B6,C10,D8,E6,F8
A5,B3,C0,D7,E10,F8
A7,B1,C10,D9,E1,F0
A1,B7,C1,D10,E9,F9
A9,B8,C2,D0,E0,F8
A5,B8,C5,D8,E5,F9
A2,B3,C1,D3,E2,F0
A9,B10,C4,D6,E8,F8
A5,B5,C8,D0,E1,F9
A1,B2,C3,D5,E3,F3
A9,B10,C6,D0,E3,F7
A9,B5,C7,D1,E2,F3
A5,B1,C4,D2,E10,F2
A4,B2,C8,D1,E3,F4
A0,B4,C8,D8,E1,F0
A7,B7,C6,D10,E3,F8
A4,B2,C9,D10,E2,F5
A0,B3,C3,D2,E3,F0
A10,B1,C5,D10,E1,F1
A7,B5,C10,D3,E9,F9
A1,B2,C9,D10,E8,F3
A6,B5,C9,D0,E9,F7
A10,B1,C7,D5,E10,F10
A2,B0,C3,D0,E0,F10
A4,B4,C0,D3,E2,F7
A0,B4,C5,D9,E8,F8
A8,B6,C2,D8,E8,F8
A1,B10,C10,D4,E3,F6
A6,B0,C9,D9,E5,F3
A10,B7,C0,D9,E6,F3
A6,B2,C8,D8,E7,F9
A3,B7,C10,D10,E6,F6
A5,B8,C4,D7,E4,F7
A2,B6,C8,D0,E9,F3
A2,B0,C4,D0,E7,F9
A10,B8,C9,D0,E5,F6
A5,B10,C8,D8,E8,F7
A2,B9,C6,D6,E4,F7
A0,B6,C2,D5,E7,F6
A7,B3,C5,D2,E4,F5
A6,B2,C0,D4,E3,F1
A3,B9,C5,D3,E0,F9
A1,B7,C7,D0,E10,F6
A6,B8,C5,D7,E10,F6
A10,B1,C7,D6,E9,F9
A5,B4,C0,D5,E3,F3
A8,B5,C1,D10,E9,F0
A7,B2,C0,D6,E10,F5
A3,B6,C4,D6,E0,F7
A0,B0,C6,D5,E3,F1
A2,B7,C9,D6,E10,F0
A4,B2,C1,D5,E8,F2
A6,B8,C5,D0,E3,F7
A7,B5,C7,D10,E9,F7
A3,B7,C1,D8,E10,F6
A5,B2,C2,D1,E7,F7
A6,B4,C6,D8,E9,F9
A5,B0,C1,D5,E6,F2
A6,B3,C6,D4,E4,F10
A10,B4,C2,D9,E5,F0
A3,B6,C0,D9,E4,F3
A6,B4,C4,D3,E4,F2
A3,B2,C8,D6,E3,F9
A4,B6,C10,D0,E4,F8
A9,B1,C8,D5,E3,F8
A2,B10,C9,D6,E2,F7
A8,B4,C8,D7,E4,F5
A0,B3,C2,D4,E0,F6
A0,B5,C1,D2,E10,F1
A6,B2,C9,D5,E4,F4
A7,B3,C3,D0,E5,F3
A4,B5,C0,D3,E6,F5
A2,B1,C4,D6,E8,F8
A6,B8,C6,D0,E4,F9
A5,B4,C10,D3,E6,F2
A5,B8,C3,D3,E8,F4
A7,B10,C4,D6,E9,F3
A2,B6,C10,D1,E5,F9
A4,B1,C1,D3,E3,F9
A1,B4,C3,D5,E1,F10
A9,B6,C2,D6,E6,F2
A6,B8,C2,D6,E2,F9
A3,B4,C5,D2,E5,F9
A1,B1,C9,D2,E4,F0
A4,B0,C10,D4,E9,F9
A4,B3,C0,D10,E2,F6
A1,B3,C1,D7,E4,F4
A10,B8,C2,D8,E1,F9
A6,B0,C3,D10,E0,F2
A7,B5,C7,D6,E2,F2
A7,B4,C4,D4,E3,F7
A5,B2,C3,D8,E8,F5
A7,B9,C7,D3,E6,F3
A2,B6,C8,D10,E1,F0
A9,B8,C3,D6,E3,F0
A0,B5,C6,D10,E3,F4
A7,B8,C6,D8,E9,F10
A0,B3,C2,D9,E6,F3
